eval_type,method,window_size,stride_value,stride_type,output_dir,success,error
eval_by_0.05,word_eval,0.8,0.55,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.8s\stride_0.55s,True,
eval_by_0.05,word_eval,0.8,0.5,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.8s\stride_0.5s,True,
eval_by_0.05,word_eval,0.8,0.65,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.8s\stride_0.65s,True,
eval_by_0.05,word_eval,0.8,0.6,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.8s\stride_0.6s,True,
eval_by_0.05,word_eval,0.8,0.75,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.8s\stride_0.75s,True,
eval_by_0.05,word_eval,0.8,0.7,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.8s\stride_0.7s,True,
eval_by_0.05,word_eval,0.8,0.8,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.8s\stride_0.8s,True,
eval_by_0.05,word_eval,0.9,0.45,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.9s\stride_0.45s,True,
eval_by_0.05,word_eval,0.9,0.55,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.9s\stride_0.55s,True,
eval_by_0.05,word_eval,0.9,0.5,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.9s\stride_0.5s,True,
eval_by_0.05,word_eval,0.9,0.65,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.9s\stride_0.65s,True,
eval_by_0.05,word_eval,0.9,0.6,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.9s\stride_0.6s,True,
eval_by_0.05,word_eval,0.9,0.75,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.9s\stride_0.75s,True,
eval_by_0.05,word_eval,0.9,0.7,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.9s\stride_0.7s,True,
eval_by_0.05,word_eval,0.9,0.85,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.9s\stride_0.85s,True,
eval_by_0.05,word_eval,0.9,0.8,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.9s\stride_0.8s,True,
eval_by_0.05,word_eval,0.9,0.9,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_0.9s\stride_0.9s,True,
eval_by_0.05,word_eval,1.0,0.55,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.0s\stride_0.55s,True,
eval_by_0.05,word_eval,1.0,0.5,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.0s\stride_0.5s,True,
eval_by_0.05,word_eval,1.0,0.65,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.0s\stride_0.65s,True,
eval_by_0.05,word_eval,1.0,0.6,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.0s\stride_0.6s,True,
eval_by_0.05,word_eval,1.0,0.75,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.0s\stride_0.75s,True,
eval_by_0.05,word_eval,1.0,0.7,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.0s\stride_0.7s,True,
eval_by_0.05,word_eval,1.0,0.85,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.0s\stride_0.85s,True,
eval_by_0.05,word_eval,1.0,0.8,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.0s\stride_0.8s,True,
eval_by_0.05,word_eval,1.0,0.95,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.0s\stride_0.95s,True,
eval_by_0.05,word_eval,1.0,0.9,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.0s\stride_0.9s,True,
eval_by_0.05,word_eval,1.0,1.0,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.0s\stride_1.0s,True,
eval_by_0.05,word_eval,1.1,0.55,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.1s\stride_0.55s,True,
eval_by_0.05,word_eval,1.1,0.65,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.1s\stride_0.65s,True,
eval_by_0.05,word_eval,1.1,0.6,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.1s\stride_0.6s,True,
eval_by_0.05,word_eval,1.1,0.75,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.1s\stride_0.75s,True,
eval_by_0.05,word_eval,1.1,0.7,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.1s\stride_0.7s,True,
eval_by_0.05,word_eval,1.1,0.85,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.1s\stride_0.85s,True,
eval_by_0.05,word_eval,1.1,0.8,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.1s\stride_0.8s,True,
eval_by_0.05,word_eval,1.1,0.95,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.1s\stride_0.95s,True,
eval_by_0.05,word_eval,1.1,0.9,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.1s\stride_0.9s,True,
eval_by_0.05,word_eval,1.1,1.05,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.1s\stride_1.05s,True,
eval_by_0.05,word_eval,1.1,1.0,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.1s\stride_1.0s,True,
eval_by_0.05,word_eval,1.1,1.1,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.1s\stride_1.1s,True,
eval_by_0.05,word_eval,1.2,0.65,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.2s\stride_0.65s,True,
eval_by_0.05,word_eval,1.2,0.6,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.2s\stride_0.6s,True,
eval_by_0.05,word_eval,1.2,0.75,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.2s\stride_0.75s,True,
eval_by_0.05,word_eval,1.2,0.7,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.2s\stride_0.7s,True,
eval_by_0.05,word_eval,1.2,0.85,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.2s\stride_0.85s,True,
eval_by_0.05,word_eval,1.2,0.8,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.2s\stride_0.8s,True,
eval_by_0.05,word_eval,1.2,0.95,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.2s\stride_0.95s,True,
eval_by_0.05,word_eval,1.2,0.9,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.2s\stride_0.9s,True,
eval_by_0.05,word_eval,1.2,1.05,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.2s\stride_1.05s,True,
eval_by_0.05,word_eval,1.2,1.0,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.2s\stride_1.0s,True,
eval_by_0.05,word_eval,1.2,1.15,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.2s\stride_1.15s,True,
eval_by_0.05,word_eval,1.2,1.1,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.2s\stride_1.1s,True,
eval_by_0.05,word_eval,1.2,1.2,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.2s\stride_1.2s,True,
eval_by_0.05,word_eval,1.3,0.65,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.3s\stride_0.65s,True,
eval_by_0.05,word_eval,1.3,0.75,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.3s\stride_0.75s,True,
eval_by_0.05,word_eval,1.3,0.7,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.3s\stride_0.7s,True,
eval_by_0.05,word_eval,1.3,0.85,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.3s\stride_0.85s,True,
eval_by_0.05,word_eval,1.3,0.8,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.3s\stride_0.8s,True,
eval_by_0.05,word_eval,1.3,0.95,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.3s\stride_0.95s,True,
eval_by_0.05,word_eval,1.3,0.9,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.3s\stride_0.9s,True,
eval_by_0.05,word_eval,1.3,1.05,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.3s\stride_1.05s,True,
eval_by_0.05,word_eval,1.3,1.0,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.3s\stride_1.0s,True,
eval_by_0.05,word_eval,1.3,1.15,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.3s\stride_1.15s,True,
eval_by_0.05,word_eval,1.3,1.1,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.3s\stride_1.1s,True,
eval_by_0.05,word_eval,1.3,1.25,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.3s\stride_1.25s,True,
eval_by_0.05,word_eval,1.3,1.2,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.3s\stride_1.2s,True,
eval_by_0.05,word_eval,1.3,1.3,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.3s\stride_1.3s,True,
eval_by_0.05,word_eval,1.4,0.75,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.4s\stride_0.75s,True,
eval_by_0.05,word_eval,1.4,0.7,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.4s\stride_0.7s,True,
eval_by_0.05,word_eval,1.4,0.85,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.4s\stride_0.85s,True,
eval_by_0.05,word_eval,1.4,0.8,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.4s\stride_0.8s,True,
eval_by_0.05,word_eval,1.4,0.95,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.4s\stride_0.95s,True,
eval_by_0.05,word_eval,1.4,0.9,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.4s\stride_0.9s,True,
eval_by_0.05,word_eval,1.4,1.05,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.4s\stride_1.05s,True,
eval_by_0.05,word_eval,1.4,1.0,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.4s\stride_1.0s,True,
eval_by_0.05,word_eval,1.4,1.15,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.4s\stride_1.15s,True,
eval_by_0.05,word_eval,1.4,1.1,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.4s\stride_1.1s,True,
eval_by_0.05,word_eval,1.4,1.25,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.4s\stride_1.25s,True,
eval_by_0.05,word_eval,1.4,1.2,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.4s\stride_1.2s,True,
eval_by_0.05,word_eval,1.4,1.35,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.4s\stride_1.35s,True,
eval_by_0.05,word_eval,1.4,1.3,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.4s\stride_1.3s,True,
eval_by_0.05,word_eval,1.4,1.4,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.4s\stride_1.4s,True,
eval_by_0.05,word_eval,1.5,0.75,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.5s\stride_0.75s,True,
eval_by_0.05,word_eval,1.5,0.85,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.5s\stride_0.85s,True,
eval_by_0.05,word_eval,1.5,0.8,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.5s\stride_0.8s,True,
eval_by_0.05,word_eval,1.5,0.95,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.5s\stride_0.95s,True,
eval_by_0.05,word_eval,1.5,0.9,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.5s\stride_0.9s,True,
eval_by_0.05,word_eval,1.5,1.05,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.5s\stride_1.05s,True,
eval_by_0.05,word_eval,1.5,1.0,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.5s\stride_1.0s,True,
eval_by_0.05,word_eval,1.5,1.15,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.5s\stride_1.15s,True,
eval_by_0.05,word_eval,1.5,1.1,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.5s\stride_1.1s,True,
eval_by_0.05,word_eval,1.5,1.25,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.5s\stride_1.25s,True,
eval_by_0.05,word_eval,1.5,1.2,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.5s\stride_1.2s,True,
eval_by_0.05,word_eval,1.5,1.35,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.5s\stride_1.35s,True,
eval_by_0.05,word_eval,1.5,1.3,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.5s\stride_1.3s,True,
eval_by_0.05,word_eval,1.5,1.45,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.5s\stride_1.45s,True,
eval_by_0.05,word_eval,1.5,1.4,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.5s\stride_1.4s,True,
eval_by_0.05,word_eval,1.5,1.5,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.5s\stride_1.5s,True,
eval_by_0.05,word_eval,1.6,0.85,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.6s\stride_0.85s,True,
eval_by_0.05,word_eval,1.6,0.8,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.6s\stride_0.8s,True,
eval_by_0.05,word_eval,1.6,0.95,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.6s\stride_0.95s,True,
eval_by_0.05,word_eval,1.6,0.9,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.6s\stride_0.9s,True,
eval_by_0.05,word_eval,1.6,1.05,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.6s\stride_1.05s,True,
eval_by_0.05,word_eval,1.6,1.0,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.6s\stride_1.0s,True,
eval_by_0.05,word_eval,1.6,1.15,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.6s\stride_1.15s,True,
eval_by_0.05,word_eval,1.6,1.1,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.6s\stride_1.1s,True,
eval_by_0.05,word_eval,1.6,1.25,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.6s\stride_1.25s,True,
eval_by_0.05,word_eval,1.6,1.2,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.6s\stride_1.2s,True,
eval_by_0.05,word_eval,1.6,1.35,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.6s\stride_1.35s,True,
eval_by_0.05,word_eval,1.6,1.3,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.6s\stride_1.3s,True,
eval_by_0.05,word_eval,1.6,1.45,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.6s\stride_1.45s,True,
eval_by_0.05,word_eval,1.6,1.4,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.6s\stride_1.4s,True,
eval_by_0.05,word_eval,1.6,1.55,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.6s\stride_1.55s,True,
eval_by_0.05,word_eval,1.6,1.5,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.6s\stride_1.5s,True,
eval_by_0.05,word_eval,1.6,1.6,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.6s\stride_1.6s,True,
eval_by_0.05,word_eval,1.7,0.85,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.7s\stride_0.85s,True,
eval_by_0.05,word_eval,1.7,0.95,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.7s\stride_0.95s,True,
eval_by_0.05,word_eval,1.7,0.9,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.7s\stride_0.9s,True,
eval_by_0.05,word_eval,1.7,1.05,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.7s\stride_1.05s,True,
eval_by_0.05,word_eval,1.7,1.0,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.7s\stride_1.0s,True,
eval_by_0.05,word_eval,1.7,1.15,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.7s\stride_1.15s,True,
eval_by_0.05,word_eval,1.7,1.1,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.7s\stride_1.1s,True,
eval_by_0.05,word_eval,1.7,1.25,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.7s\stride_1.25s,True,
eval_by_0.05,word_eval,1.7,1.2,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.7s\stride_1.2s,True,
eval_by_0.05,word_eval,1.7,1.35,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.7s\stride_1.35s,True,
eval_by_0.05,word_eval,1.7,1.3,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.7s\stride_1.3s,True,
eval_by_0.05,word_eval,1.7,1.45,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.7s\stride_1.45s,True,
eval_by_0.05,word_eval,1.7,1.4,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.7s\stride_1.4s,True,
eval_by_0.05,word_eval,1.7,1.55,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.7s\stride_1.55s,True,
eval_by_0.05,word_eval,1.7,1.5,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.7s\stride_1.5s,True,
eval_by_0.05,word_eval,1.7,1.65,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.7s\stride_1.65s,True,
eval_by_0.05,word_eval,1.7,1.6,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.7s\stride_1.6s,True,
eval_by_0.05,word_eval,1.7,1.7,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.7s\stride_1.7s,True,
eval_by_0.05,word_eval,1.8,0.95,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.8s\stride_0.95s,True,
eval_by_0.05,word_eval,1.8,0.9,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.8s\stride_0.9s,True,
eval_by_0.05,word_eval,1.8,1.05,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.8s\stride_1.05s,True,
eval_by_0.05,word_eval,1.8,1.0,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.8s\stride_1.0s,True,
eval_by_0.05,word_eval,1.8,1.15,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.8s\stride_1.15s,True,
eval_by_0.05,word_eval,1.8,1.1,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.8s\stride_1.1s,True,
eval_by_0.05,word_eval,1.8,1.25,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.8s\stride_1.25s,True,
eval_by_0.05,word_eval,1.8,1.2,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.8s\stride_1.2s,True,
eval_by_0.05,word_eval,1.8,1.35,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.8s\stride_1.35s,True,
eval_by_0.05,word_eval,1.8,1.3,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.8s\stride_1.3s,True,
eval_by_0.05,word_eval,1.8,1.45,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.8s\stride_1.45s,True,
eval_by_0.05,word_eval,1.8,1.4,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.8s\stride_1.4s,True,
eval_by_0.05,word_eval,1.8,1.55,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.8s\stride_1.55s,True,
eval_by_0.05,word_eval,1.8,1.5,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.8s\stride_1.5s,True,
eval_by_0.05,word_eval,1.8,1.65,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.8s\stride_1.65s,True,
eval_by_0.05,word_eval,1.8,1.6,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.8s\stride_1.6s,True,
eval_by_0.05,word_eval,1.8,1.75,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.8s\stride_1.75s,True,
eval_by_0.05,word_eval,1.8,1.7,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.8s\stride_1.7s,True,
eval_by_0.05,word_eval,1.8,1.8,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.8s\stride_1.8s,True,
eval_by_0.05,word_eval,1.9,0.95,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.9s\stride_0.95s,True,
eval_by_0.05,word_eval,1.9,1.05,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.9s\stride_1.05s,True,
eval_by_0.05,word_eval,1.9,1.0,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.9s\stride_1.0s,True,
eval_by_0.05,word_eval,1.9,1.15,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.9s\stride_1.15s,True,
eval_by_0.05,word_eval,1.9,1.1,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.9s\stride_1.1s,True,
eval_by_0.05,word_eval,1.9,1.25,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.9s\stride_1.25s,True,
eval_by_0.05,word_eval,1.9,1.2,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.9s\stride_1.2s,True,
eval_by_0.05,word_eval,1.9,1.35,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.9s\stride_1.35s,True,
eval_by_0.05,word_eval,1.9,1.3,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.9s\stride_1.3s,True,
eval_by_0.05,word_eval,1.9,1.45,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.9s\stride_1.45s,True,
eval_by_0.05,word_eval,1.9,1.4,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.9s\stride_1.4s,True,
eval_by_0.05,word_eval,1.9,1.55,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.9s\stride_1.55s,True,
eval_by_0.05,word_eval,1.9,1.5,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.9s\stride_1.5s,True,
eval_by_0.05,word_eval,1.9,1.65,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.9s\stride_1.65s,True,
eval_by_0.05,word_eval,1.9,1.6,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.9s\stride_1.6s,True,
eval_by_0.05,word_eval,1.9,1.75,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.9s\stride_1.75s,True,
eval_by_0.05,word_eval,1.9,1.7,absolute,comprehensive_iou_evaluation\eval_by_0.05\word\window_1.9s\stride_1.7s,True,
